brand, name, size, Orig, Current, Save, Url,
"adidas","11Pro Carnaval TRX FG - Slime/Zest","SIZES  6, 6, 7, 8, 8, 9, 9, 10, 10, 11, 11","0.0","140.0","-140.0","http://www.prodirectsoccer.com/Products/adidas-Football-Boots-adidas-11Pro-Carnaval-TRX-FG-Firm-Ground-Soccer-Cleats-Solar-SlimeSolar-SlimeSolar-Zest-79629.aspx",
"adidas","F50 adizero Carnaval TRX FG - Zest/Berry","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 11","0.0","200.0","-200.0","http://www.prodirectsoccer.com/Products/adidas-Football-Boots-adidas-F50-adizero-Carnaval-TRX-FG-Firm-Ground-Soccer-Cleats-Solar-ZestSolar-ZestVivid-Berry-79630.aspx",
"adidas","Nitrocharge 1.0 Carnaval TRX FG - Berry/Blue","SIZES  6, 6, 7, 8, 8, 9, 9, 10, 10, 11, 11","0.0","185.0","-185.0","http://www.prodirectsoccer.com/Products/adidas-Football-Boots-adidas-Nitrocharge-10-Carnaval-TRX-FG-Firm-Ground-Soccer-Cleats-Vivid-BerryVivid-BerrySolar-Blue-79631.aspx",
"adidas","Predator LZ Carnaval TRX FG - Blue/Slime","SIZES  6, 6, 8, 8, 9, 9, 10, 10, 11, 11","0.0","190.0","-190.0","http://www.prodirectsoccer.com/Products/adidas-Football-Boots-adidas-Predator-LZ-Carnaval-TRX-FG-Firm-Ground-Soccer-Cleats-Solar-BlueSolar-BlueSolar-Slime-79632.aspx",
"adidas","11Pro SL TRX FG - Black/White/Slime","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13","175.0","122.0","53.0","http://www.prodirectsoccer.com/Products/adidas-Football-Boots-adidas-11Pro-SL-TRX-FG-Firm-Ground-Soccer-Cleats-BlackRunning-WhiteSolar-Slime-68635.aspx",
"Puma","King FG - White","SIZES  6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13","0.0","124.99","-124.99","http://www.prodirectsoccer.com/Products/Puma-Football-Boots-Puma-King-FG-Firm-Ground-Soccer-Cleats-Metallic-White-68948.aspx",
"Nike","Mercurial Vapor IX Fast Forward 02 Edition SG Pro - Silver/Black/Volt","SIZES  5, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12","0.0","169.99","-169.99","http://www.prodirectsoccer.com/Products/Nike-Football-Boots-Nike-Mercurial-Vapor-IX-Fast-Forward-02-Edition-SG-Pro-Soft-Ground-Soccer-Cleats-Metallic-SilverBlackVolt-72126.aspx",
"Nike","Mercurial Vapor IX Fast Forward 02 Edition FG - Silver/Black/Volt","SIZES  5, 8, 8, 9, 9, 10, 10, 11, 12","0.0","159.99","-159.99","http://www.prodirectsoccer.com/Products/Nike-Football-Boots-Nike-Mercurial-Vapor-IX-Fast-Forward-02-Edition-FG-Firm-Ground-Soccer-Cleats-Metallic-SilverBlackVolt-72128.aspx",
"Nike","Mercurial Veloce FG - Silver/Black/Volt","SIZES  7, 8, 8, 9, 9, 10, 10, 11, 12, 13","0.0","89.99","-89.99","http://www.prodirectsoccer.com/Products/Nike-Football-Boots-Nike-Mercurial-Veloce-FG-Firm-Ground-Soccer-Cleats-Metallic-SilverBlackVolt-72129.aspx",
"adidas","F50 adiZero Messi XTRX SG - White/Black/Slime","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13","0.0","174.99","-174.99","http://www.prodirectsoccer.com/Products/adidas-Football-Boots-adidas-F50-adiZero-Messi-XTRX-SG-Soft-Ground-Soccer-Cleats-Running-WhiteBlackSolar-Slime-68502.aspx",
"adidas","F50 adiZero Messi TRX FG - White/Black/Slime","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13","0.0","169.99","-169.99","http://www.prodirectsoccer.com/Products/adidas-Football-Boots-adidas-F50-adiZero-Messi-TRX-FG-Firm-Ground-Soccer-Cleats-Running-WhiteBlackSolar-Slime-68500.aspx",
"adidas","F30 Messi TRX FG - White/Black/Slime","SIZES  7, 8, 8, 9, 9, 10, 10, 11, 12, 13","0.0","94.99","-94.99","http://www.prodirectsoccer.com/Products/adidas-Football-Boots-adidas-F30-Messi-TRX-FG-Firm-Ground-Soccer-Cleats-Running-WhiteBlackSolar-Slime-68505.aspx",
"adidas","F10 Messi Indoor - White/Black/Slime","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13","0.0","54.99","-54.99","http://www.prodirectsoccer.com/Products/adidas-Football-Boots-adidas-F10-Messi-Indoor-Soccer-Cleats-Running-WhiteBlackSolar-Slime-68510.aspx",
"adidas","F10 Messi TRX Turf - White/Black/Slime","SIZES  7, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13","0.0","54.99","-54.99","http://www.prodirectsoccer.com/Products/adidas-Football-Boots-adidas-F10-Messi-TRX-Turf-Astro-Turf-Soccer-Cleats-Running-WhiteBlackSolar-Slime-68508.aspx",
