brand, name, size, Orig, Current, Save, Discount, Url,
"Cruyff","Alano - Blue/Grey","SIZES  8, 10, 11","100.0","70.0","30.0","30.00"%,http://www.prodirectselect.com/Products/Cruyff-Alano-Mens-Select-Footwear-Flash-BlueSoft-Grey-55491.aspx,
"adidas","Originals adistar Racer - Black/White/Black","SIZES  6, 7, 8, 9, 10","0.0","56.0","0","0.00"%,http://www.prodirectselect.com/Products/adidas-Originals-adistar-Racer-Mens-Select-Footwear-BlackWhiteBlack-45560.aspx,
"adidas","originals Plimcana Clean Low - White / White / White","SIZES  6, 7, 8, 9, 10","0.0","55.0","0","0.00"%,http://www.prodirectselect.com/Products/adidas-originals-Trainers-adidas-originals-Plimcana-Clean-Low-Court-White-White-White-35517.aspx,
"adidas","Originals Stan Smith Suede - Blue / White","SIZES  6, 7, 8, 9, 10, 11, 12","0.0","65.0","0","0.00"%,http://www.prodirectselect.com/Products/adidas-Originals-Stan-Smith-Mens-Select-Footwear-Tribe-BlueTribe-BlueRunning-White-74745.aspx,
"adidas","Originals Stan Smith Suede - Bahia Mint / White","SIZES  6, 7, 8, 9, 10, 11, 12","0.0","65.0","0","0.00"%,http://www.prodirectselect.com/Products/adidas-Originals-Stan-Smith-Mens-Select-Footwear-Bahia-MintBahia-MintRunning-White-74743.aspx,
"Nike","Sportswear Air Max 90 Ice - Grey / White / Anthracite / Black","SIZES  5, 7, 8, 9, 10","0.0","110.0","0","0.00"%,http://www.prodirectselect.com/Products/Nike-Sportswear-Air-Max-90-Ice-Mens-Select-Footwear-Wolf-GreyWhiteAnthraciteBlack-74488.aspx,
"adidas","Originals Stan Smith Suede - Red / White","SIZES  6, 7, 8, 9, 10, 11, 12","0.0","65.0","0","0.00"%,http://www.prodirectselect.com/Products/adidas-Originals-Stan-Smith-Mens-Select-Footwear-St-Nomad-RedSt-Nomad-RedRunning-White-74747.aspx,
"Nike","Sportswear Air Max 90 Ice - Volt / Green / Black","SIZES  5, 6, 7, 8, 9, 10, 11","0.0","110.0","0","0.00"%,http://www.prodirectselect.com/Products/Nike-Sportswear-Air-Max-90-Ice-Mens-Select-Footwear-VoltGreenDark-GreenBlack-74489.aspx,
"adidas","Originals Gazelle OG - Black / White / Gold","SIZES  4, 5, 6, 7, 8, 9, 10, 11, 12","0.0","65.0","0","0.00"%,http://www.prodirectselect.com/Products/adidas-Originals-Shoes-adidas-originals-Gazelle-OG-Terrace-Mens-Trainers-Black-White-Metallic-Gold-38948.aspx,
"adidas","Originals Gazelle OG - Air Force Blue / White / Metallic Gold","SIZES  4, 5, 6, 7, 8, 9, 10, 11, 12","0.0","65.0","0","0.00"%,http://www.prodirectselect.com/Products/adidas-originals-Shoes-adidas-Originals-Gazelle-OG-Terrace-Mens-Trainers-Air-Force-Blue-White-Metallic-Gold-38953.aspx,
"Converse","Star Player Canvas Lo - Radio Blue / White","SIZES  3, 4, 5, 6, 7, 8, 9, 10, 11, 12","0.0","47.0","0","0.00"%,http://www.prodirectselect.com/Products/Converse-Star-Player-Lo-Mens-Select-Footwear-Radio-BlueWhite-76602.aspx,
"Converse","Star Player Canvas Lo - Grey / White","SIZES  3, 4, 5, 6, 7, 8, 9, 10, 11, 12","0.0","47.0","0","0.00"%,http://www.prodirectselect.com/Products/Converse-Star-Player-Lo-Mens-Select-Footwear-GreyWhite-76598.aspx,
"Converse","Star Player Canvas Lo - Red / White","SIZES  3, 4, 5, 6, 7, 8, 9, 10, 11, 12","0.0","47.0","0","0.00"%,http://www.prodirectselect.com/Products/Converse-Star-Player-Lo-Mens-Select-Footwear-RedWhite-76600.aspx,
"Nike","Sportswear Roshe Run - Black / Anthracite / Mortar","SIZES  5, 6, 7, 8, 10, 12","0.0","75.0","0","0.00"%,http://www.prodirectselect.com/Products/Nike-Sportswear-Roshe-Run-Mens-Select-Footwear-BlackBlackAnthraciteMortar-74547.aspx,
"Nike","Sportswear Roshe Run - Royal/Black/White","SIZES  5, 6, 7, 8, 9, 10, 11, 12","0.0","75.0","0","0.00"%,http://www.prodirectselect.com/Products/Nike-Sportswear-Roshe-Run-Mens-Select-Footwear-Game-RoyalGame-RoyalBlackSummit-White-74546.aspx,
"Nike","Sportswear Roshe Run - Crimson / Red","SIZES  5, 6, 7, 8, 9, 10, 11","0.0","75.0","0","0.00"%,http://www.prodirectselect.com/Products/Nike-Sportswear-Roshe-Run-Mens-Select-Footwear-Light-CrimsonLight-CrimsonUniversity-Red-74545.aspx,
"Nike","Sportswear Roshe Run - Volt/Black/White","SIZES  5, 6, 7, 8, 9, 10, 11, 12","0.0","75.0","0","0.00"%,http://www.prodirectselect.com/Products/Nike-Sportswear-Roshe-Run-Mens-Select-Footwear-VoltVoltBlack-PineSummit-White-74544.aspx,
"Nike","NSW Tiempo MID '94 - Black/Sail","SIZES  6, 7, 8, 9, 10, 11, 12","0.0","85.0","0","0.00"%,http://www.prodirectselect.com/Products/Nike-NSW-Tiempo-MID-94-Mens-Training-Shoes-BlackSail-72436.aspx,
"Nike","NSW Tiempo '94 - Black/Sail","SIZES  6, 7, 8, 9, 10, 11, 12","0.0","80.0","0","0.00"%,http://www.prodirectselect.com/Products/Nike-NSW-Tiempo-%2794-Mens-training-Shoes-BlackSail-72440.aspx,
"Nike","NSW Tiempo '94 - Obsidian/Sail","SIZES  6, 7, 8, 9, 10, 11, 12","0.0","80.0","0","0.00"%,http://www.prodirectselect.com/Products/Nike-NSW-Tiempo-94-Mens-trainers-ObsidianSail-72443.aspx,
"Nike","NSW Tiempo MID '94 - Bamboo/Obsidian","SIZES  6, 7, 8, 9, 10, 12","0.0","85.0","0","0.00"%,http://www.prodirectselect.com/Products/Nike-NSW-Tiempo-MID-94-Mens-training-Shoes-BambooObsidian-72437.aspx,
"Nike","NSW Tiempo '94 - Grey/Sail","SIZES  6, 7, 8, 9, 10, 11, 12","0.0","80.0","0","0.00"%,http://www.prodirectselect.com/Products/Nike-NSW-Tiempo-94-Mens-Shoes-GreySail-72442.aspx,
"Nike","NSW Tiempo MID '94 - Light Crimson/Sail","SIZES  6, 7, 8, 9, 10, 11, 12","0.0","85.0","0","0.00"%,http://www.prodirectselect.com/Products/Nike-NSW-Tiempo-MID-%2794-Mens-trainers-Light-CrimsonSail-72438.aspx,
"Nike","NSW Tiempo '94 - Gym Red/Sail","SIZES  6, 7, 8, 9, 10, 11, 12","0.0","80.0","0","0.00"%,http://www.prodirectselect.com/Products/Nike-NSW-Tiempo-94-Mens-Select-Trainers-Gym-RedSail-72445.aspx,
"Nike","Sportswear Air Max Lunar90 - Navy/Grey","SIZES  5, 6, 7, 8, 9, 10, 11, 12","0.0","105.0","0","0.00"%,http://www.prodirectselect.com/Products/Nike-Sportswear-Air-Max-Lunar90-Mens-Select-Footwear-Mid-NavyLight-Base-GreyGrey-74495.aspx,
"Nike","Sportswear Air Max Lunar90 - White/Grey/Black/Red","SIZES  5, 7, 8, 9, 11, 12","0.0","105.0","0","0.00"%,http://www.prodirectselect.com/Products/Nike-Sportswear-Air-Max-Lunar90-Mens-Select-Footwear-WhiteCool-GreyBlackInfrared-76426.aspx,
"Nike","Sportswear Air Max Lunar90 - White/Obsidian/Royal/Grey","SIZES  5, 6, 7, 8, 9, 10, 11","0.0","105.0","0","0.00"%,http://www.prodirectselect.com/Products/Nike-Sportswear-Air-Max-Lunar90-Mens-Select-Footwear-WhiteDark-ObsidianRoyalWolf-Grey-74494.aspx,
"Nike","Sportswear Air Force 1 '07 Leather - Black/Black","SIZES  6, 7, 8, 9, 10, 11, 12","0.0","66.99","0","0.00"%,http://www.prodirectselect.com/Products/Nike-Air-Force-1-%2707-Leather-Mens-Select-Footwear-BlackBlack-55827.aspx,
"Nike","Sportswear Air Force 1 '07 Leather - White","SIZES  7, 8, 9, 10, 11, 12","0.0","66.99","0","0.00"%,http://www.prodirectselect.com/Products/Nike-Sportswear-Air-Force-1-%2707-Leather-Mens-Select-Footwear-White-21544.aspx,
"Nike","Sportswear Air Max Light Essential - Black/Grey/Volt","SIZES  5, 6, 7, 8, 9, 10, 11","0.0","89.99","0","0.00"%,http://www.prodirectselect.com/Products/Nike-Sportswear-Air-Max-Light-Essential-Mens-Select-Footwear-BlackBlackDark-GreyVolt-74452.aspx,
"Nike","Sportswear Air Max 90 Premium - Obsid/Grey","SIZES  5, 6, 7, 8, 9, 10, 11, 12","0.0","100.0","0","0.00"%,http://www.prodirectselect.com/Products/Nike-Sportswear-Air-Max-90-Premium-Mens-Select-Footwear-Dark-ObsidianMedium-Base-Grey-74450.aspx,
"Nike","Sportswear Air Max 1 Premium - Obsid/Silver/Orng","SIZES  5, 6, 7, 8, 9, 10, 11, 12","0.0","97.0","0","0.00"%,http://www.prodirectselect.com/Products/Nike-Sportswear-Air-Max-1-Premium-Mens-Select-Footwear-Dark-ObsidianMetallic-SilverAtomic-Orange-74449.aspx,
"Nike","Sportswear Air Max Light Essential - Grey/Black/Blue","SIZES  5, 6, 7, 8, 9, 10, 11, 12","0.0","90.0","0","0.00"%,http://www.prodirectselect.com/Products/Nike-Sportswear-Air-Max-Light-Essential-Mens-Select-Footwear-Base-GreyBlackMedium-Base-GreyVivid-Blue-74455.aspx,
"Nike","Sportswear Air Max 1 C2.0 - White/Grey/Obsidian","SIZES  5, 6, 7, 8, 9, 10, 11, 12","0.0","100.0","0","0.00"%,http://www.prodirectselect.com/Products/Nike-Sportswear-Air-Max-1-C20-Mens-Select-Footwear-WhiteWolf-GreyObsidianDark-Obsidian-74483.aspx,
"Nike","Sportswear Air Max 90 Essential - White/Grey/Black","SIZES  5, 6, 7, 8, 9, 10, 11, 12","0.0","95.0","0","0.00"%,http://www.prodirectselect.com/Products/Nike-Sportswear-Air-Max-90-Essential-Mens-Select-Footwear-WhiteCool-GreyNatural-GreyBlack-74487.aspx,
"Nike","Sportswear Roshe Run - Black / Cool Grey / White","SIZES  5, 6, 7, 8, 9, 12","0.0","70.0","0","0.00"%,http://www.prodirectselect.com/Products/Nike-Sportswear-Roshe-Run-Mens-Select-Footwear-BlackCool-GreyWhite-74539.aspx,
"Vans","Old Skool - Black","SIZES  4, 5, 6, 7, 8, 9, 10, 11","0.0","54.99","0","0.00"%,http://www.prodirectselect.com/Products/Vans-Old-Skool-Mens-Select-Footwear-Black-59749.aspx,
"Puma","Suede Classic Eco - Black/White","SIZES  4, 5, 7, 8, 9, 11","0.0","49.99","0","0.00"%,http://www.prodirectselect.com/Products/Puma-Suede-Classic-Eco-Mens-Shoes-BlackWhite-47334.aspx,
"Nike","Sportswear Roshe Run - Blue / Anthracite / Spray / Grey","SIZES  5, 6, 7, 8, 9, 10, 11, 12","0.0","70.0","0","0.00"%,http://www.prodirectselect.com/Products/Nike-Sportswear-Roshe-Run-Mens-Select-Footwear-Photo-BlueAnthraciteSprayCool-Grey-74540.aspx,
"Puma","Suede Classic Eco - Ensign Blue/White","SIZES  6, 7, 8, 9, 10, 11, 12","0.0","49.99","0","0.00"%,http://www.prodirectselect.com/Products/Puma-Suede-Classic-Eco-Mens-Shoes-Ensign-BlueWhite-47332.aspx,
"Nike","Sportswear Roshe Run - Grey / Black / Orange / White","SIZES  5, 6, 7, 8, 9, 11","0.0","70.0","0","0.00"%,http://www.prodirectselect.com/Products/Nike-Sportswear-Roshe-Run-Mens-Select-Footwear-Wolf-GreyBlackAtomic-OrangeWhite-74538.aspx,
